Username,Password,Hostname,Manangment IP,Port number,Script
admin,P@ssw0rd,SW1,192.168.0.1,22,cmd_huawei
admin,P@ssw0rd,SW2,192.168.0.2,22,cmd_huawei
admin,P@ssw0rd,SW3,192.168.0.3,22,cmd_huawei
admin,P@ssw0rd,SW4,192.168.0.4,22,cmd_huawei
admin,P@ssw0rd,SW5,192.168.0.5,22,cmd_huawei
admin,P@ssw0rd,SW6,192.168.0.6,22,cmd_huawei
admin,P@ssw0rd,SW7,192.168.0.7,22,cmd_huawei
admin,P@ssw0rd,SW8,192.168.0.8,22,cmd_huawei
admin,P@ssw0rd,SW9,192.168.0.9,22,cmd_huawei
admin,P@ssw0rd,SW10,192.168.0.10,22,cmd_huawei
admin,P@ssw0rd,SW11,192.168.0.11,22,cmd_huawei
admin,P@ssw0rd,SW12,192.168.0.12,22,cmd_huawei
admin,P@ssw0rd,SW13,192.168.0.13,22,cmd_huawei
admin,P@ssw0rd,SW14,192.168.0.14,22,cmd_huawei
admin,P@ssw0rd,SW15,192.168.0.15,22,cmd_huawei
admin,P@ssw0rd,SW16,192.168.0.16,22,cmd_huawei
admin,P@ssw0rd,SW17,192.168.0.17,22,cmd_huawei
admin,P@ssw0rd,SW18,192.168.0.18,22,cmd_huawei
admin,P@ssw0rd,SW19,192.168.0.19,22,cmd_huawei
admin,P@ssw0rd,SW20,192.168.0.20,22,cmd_huawei
admin,P@ssw0rd,SW21,192.168.0.21,22,cmd_huawei
admin,P@ssw0rd,SW22,192.168.0.22,22,cmd_huawei
admin,P@ssw0rd,SW23,192.168.0.23,22,cmd_huawei
admin,P@ssw0rd,SW24,192.168.0.24,22,cmd_huawei
admin,P@ssw0rd,SW25,192.168.0.25,22,cmd_huawei
